name,target_rva,target_size,source,notes
??0W3DTerrainVisual@@QAE@XZ,0x007304E0,44,Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DGameClient.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_00731870@@UAE@XZ,0x00731050,253,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007366f0@@UAE@XZ,0x00736590,260,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_0073a570@@UAE@XZ,0x0073A4E0,109,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_00740c50@@UAE@XZ,0x00740BC0,106,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??$_Construct@UGen_t_007463a0_p24cd@@U1@@_STL@@YAXPAUGen_t_007463a0_p24cd@@ABU1@@Z,0x007416E0,47,Code/gen_small/tgrid_121.cpp,reloc-derived;call-sites=1;identity=generated
??$_M_allocate_and_copy@PAUGen_t_00745890_p24cd@@@?$vector@UGen_t_00745890_p24cd@@V?$allocator@UGen_t_00745890_p24cd@@@_STL@@@_STL@@IAEPAUGen_t_00745890_p24cd@@IPAU2@0@Z,0x007417A0,97,Code/gen_small/tgrid_121.cpp,reloc-derived;call-sites=1;identity=generated
?_M_insert_overflow@?$vector@UGen_t_007463a0_p24cd@@V?$allocator@UGen_t_007463a0_p24cd@@@_STL@@@_STL@@IAEXPAUGen_t_007463a0_p24cd@@ABU3@ABU__false_type@2@I_N@Z,0x00745960,335,Code/gen_small/tgrid_121.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007463f0@@UAE@XZ,0x007461B0,390,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_006c5d10@@UAE@XZ,0x00746800,117,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_0074a470@@UAE@XZ,0x00746EC0,19,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_0074a380@@UAE@XZ,0x00746EE0,19,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
