target_rva,size,literal,reference_source,candidate_function,port
0x005588E0,259,GUI:PlayersVersusPlayers,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLQuickMatchMenu.cpp,WOLQuickMatchMenuInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLQuickMatchMenu.cpp
0x001431D0,259,RemoveModule %s was not found for %s.,GameEngine/Source/Common/Thing/ThingTemplate.cpp,ThingTemplate::parseRemoveModule,Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp
0x004EA5F0,249,Buddy:MultipleOnlineNotification,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLBuddyOverlay.cpp,showNotificationBox,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLBuddyOverlay.cpp
0x00689910,243,LAN:ErrorUnknown,GameEngine/Source/GameNetwork/LANAPICallbacks.cpp,LANAPIInterface::getErrorStringFromReturnType,Code/GameEngine/Source/GameNetwork/LANAPICallbacks.cpp
0x0058EED0,227,NonCommand_Options,GameEngine/Source/GameClient/GUI/ControlBar/ControlBar.cpp,ControlBar::init,Code/GameEngine/Source/GameClient/GUI/ControlBar/ControlBar.cpp
0x00689050,222,LAN:GameStartTimerSingular,GameEngine/Source/GameNetwork/LANAPICallbacks.cpp,LANAPI::OnGameStartTimer,Code/GameEngine/Source/GameNetwork/LANAPICallbacks.cpp
0x006304A0,218,GUI:CheckingForPatches,GameEngine/Source/GameNetwork/GameSpy/MainMenuUtils.cpp,StartPatchCheck,Code/GameEngine/Source/GameNetwork/GameSpy/MainMenuUtils.cpp
0x004D3D20,216,PopupCommunicator.wnd:PopupCommunicator,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupCommunicator.cpp,PopupCommunicatorInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupCommunicator.cpp
0x004C9390,205,KEYBOARD:Shift+,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/KeyboardOptionsMenu.cpp,setKeyDown,
0x002227E0,201,ExitEnd,GameEngine/Source/GameLogic/Object/Contain/OpenContain.cpp,OpenContain::exitObjectViaDoor,Code/GameEngine/Source/GameLogic/Object/Contain/OpenContain.cpp
0x00686B10,199,127.0.0.1,GameEngine/Source/GameNetwork/NetworkUtil.cpp,ResolveIP,Code/GameEngine/Source/GameNetwork/NetworkUtil.cpp
0x00517450,199,GUI:HostLeft,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLGameSetupMenu.cpp,WOLGameSetupMenuUpdate,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLGameSetupMenu.cpp
0x00504500,199,WOLMapSelectMenu.wnd:ButtonBack,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLMapSelectMenu.cpp,WOLMapSelectMenuInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLMapSelectMenu.cpp
0x004D0720,199,LanMapSelectMenu.wnd:ButtonBack,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/LanMapSelectMenu.cpp,LanMapSelectMenuInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/LanMapSelectMenu.cpp
0x004C9290,199,KeyboardOptionsMenu.wnd:ButtonBack,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/KeyboardOptionsMenu.cpp,KeyboardOptionsMenuInit,
0x00183AF0,198,AIAttackMoveMachine,GameEngine/Source/GameLogic/AI/AIStates.cpp,AIAttackMoveToState,Code/GameEngine/Source/GameLogic/AI/AIStates.cpp
0x0051E9B0,197,00000000.sav,GameEngine/Source/Common/System/SaveGame/GameState.cpp,findHighFileNumber,Code/GameEngine/Source/Common/System/SaveGame/GameState.cpp
0x004C8660,195,Menus/EstablishConnectionsScreen.wnd,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/EstablishConnectionsWindow.cpp,ShowEstablishConnectionsWindow,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/EstablishConnectionsWindow.cpp
0x000AFFF0,186,Bad pitch shift values for audio event %s,GameEngine/Source/Common/INI/INIAudioEventInfo.cpp,parsePitchShift,
0x004F0E70,184,GameSpyGameOptionsMenuFade,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLGameSetupMenu.cpp,WOLGameSetupMenuInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLGameSetupMenu.cpp
0x002BF6D0,183,AIAttackMoveMachine,GameEngine/Source/GameLogic/AI/AIStates.cpp,AIAttackMoveToState,Code/GameEngine/Source/GameLogic/AI/AIStates.cpp
0x004507A0,180,MapCache.ini,GameEngine/Source/GameClient/MapUtil.cpp,WaypointMap::update,Code/GameEngine/Source/GameClient/MapUtil.cpp
0x00885680,178,127.0.0.1,GameEngine/Source/GameNetwork/NetworkUtil.cpp,ResolveIP,Code/GameEngine/Source/GameNetwork/NetworkUtil.cpp
0x004C8830,176,Menus/GameInfoWindow.wnd,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/GameInfoWindow.cpp,CreateLANGameInfoWindow,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/GameInfoWindow.cpp
0x00927230,171,MeshGeometryClass::VertexNorm,Libraries/Source/WWVegas/WW3D2/meshgeometry.cpp,MeshGeometryClass::Reset_Geometry,Code/Libraries/Source/WWVegas/WW3D2/meshgeometry.cpp
0x0009F560,164,SkirmishStats.ini,GameEngine/Source/Common/SkirmishBattleHonors.cpp,SkirmishBattleHonors,
