twin_rva,size,source,object_symbol,slot_state
0x009456F0,10,Code/GameEngine/Source/Common/Audio/AudioEventRTS.cpp,?setPlayingHandle@AudioEventRTS@@QAEXI@Z,unclaimed
0x00945700,17,Code/Libraries/Source/WWVegas/WW3D2/dx8renderer.cpp,?Set_Vertex_Index_Range@DX8PolygonRendererClass@@QAEXII@Z,unclaimed
0x0094BC50,13,Code/GameEngine/Source/Common/OneWordCopyThunk.cpp,?copyFrom@OneWordCopyThunk@@QAEPAU1@PBU1@@Z,unclaimed
0x0094BC80,13,Code/GameEngine/Source/Common/OneWordCopyThunk.cpp,?copyFrom@OneWordCopyThunk@@QAEPAU1@PBU1@@Z,unclaimed
0x0094BDB0,13,Code/GameEngine/Source/Common/OneWordCopyThunk.cpp,?copyFrom@OneWordCopyThunk@@QAEPAU1@PBU1@@Z,unclaimed
0x0094C370,56,Code/GameEngine/Source/Common/StateMachine.cpp,??$_M_find@I@?$_Rb_tree@IU?$pair@$$CBIPAVState@@@_STL@@U?$_Select1st@U?$pair@$$CBIPAVState@@@_STL@@@2@U?$less@I@2@V?$allocator@U?$pair@$$CBIPAVState@@@_STL@@@2@@_STL@@ABEPAU?$_Rb_tree_node@U?$pair@$$CBIPAVState@@@_STL@@@1@ABI@Z,unclaimed
0x00955980,10,Code/GameEngine/Source/Common/ConditionalPointerStoreThunk.cpp,?assignSecond@ConditionalPointerStoreThunk@@QAEXPAX@Z,unclaimed
0x00955990,10,Code/GameEngine/Source/Common/GameEngine.cpp,?setFramesPerSecondLimit@GameEngine@@UAEXH@Z,unclaimed
0x009559C0,10,Code/GameEngine/Source/Common/VirtualSlot5CallThunk.cpp,?setValue@Offset24IntegerSetterThunk@@QAEXH@Z,unclaimed
0x00959880,9,Code/GameEngine/Source/GameNetwork/FrameData.cpp,?setFrameCommandCount@FrameData@@QAEXI@Z,unclaimed
0x0095AFE0,9,Code/GameEngine/Source/GameNetwork/FrameData.cpp,?setFrameCommandCount@FrameData@@QAEXI@Z,unclaimed
0x0095C610,10,Code/GameEngine/Source/GameNetwork/NetCommandMsg.cpp,?setDataOffset@NetWrapperCommandMsg@@QAEXI@Z,unclaimed
0x0096A7F0,10,Code/GameEngine/Source/Common/VirtualSlot5CallThunk.cpp,?setValue@Offset24IntegerSetterThunk@@QAEXH@Z,unclaimed
0x0096B4D0,18,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint2D@H@@QAE@HH@Z,unclaimed
0x0096CE40,9,Code/GameEngine/Source/GameNetwork/FrameData.cpp,?setFrameCommandCount@FrameData@@QAEXI@Z,unclaimed
0x0096CE50,10,Code/GameEngine/Source/Common/ConditionalPointerStoreThunk.cpp,?assignSecond@ConditionalPointerStoreThunk@@QAEXPAX@Z,unclaimed
0x0096CE60,10,Code/GameEngine/Source/Common/GameEngine.cpp,?setFramesPerSecondLimit@GameEngine@@UAEXH@Z,unclaimed
0x00973530,8,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,?Invalidate_Archive@?$IndexClass@HPAUINIEntry@@@@ABEXXZ,unclaimed
0x00973620,10,Code/GameEngine/Source/Common/ConditionalPointerStoreThunk.cpp,?assignSecond@ConditionalPointerStoreThunk@@QAEXPAX@Z,unclaimed
0x00973630,10,Code/GameEngine/Source/Common/GameEngine.cpp,?setFramesPerSecondLimit@GameEngine@@UAEXH@Z,unclaimed
0x0098D2D0,13,Code/Libraries/Source/WWVegas/WW3D2/part_ldr.cpp,?Set_Emission_Rate@ParticleEmitterDefClass@@UAEXM@Z,unclaimed
0x0098D300,13,Code/Libraries/Source/WWVegas/WW3D2/part_ldr.cpp,?Set_Gravity@ParticleEmitterDefClass@@UAEXM@Z,unclaimed
0x0098D310,13,Code/Libraries/Source/WWVegas/WW3D2/part_ldr.cpp,?Set_Elasticity@ParticleEmitterDefClass@@UAEXM@Z,unclaimed
0x0098D4D0,13,Code/Libraries/Source/WWVegas/WW3D2/part_ldr.cpp,?Set_Noise_Amplitude@ParticleEmitterDefClass@@UAEXM@Z,unclaimed
0x0098D4E0,13,Code/Libraries/Source/WWVegas/WW3D2/part_ldr.cpp,?Set_Merge_Abort_Factor@ParticleEmitterDefClass@@UAEXM@Z,unclaimed
0x0098D4F0,13,Code/Libraries/Source/WWVegas/WW3D2/part_ldr.cpp,?Set_Texture_Tile_Factor@ParticleEmitterDefClass@@UAEXM@Z,unclaimed
0x009A17D0,18,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint2D@H@@QAE@HH@Z,unclaimed
0x009A2339,8,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,?Invalidate_Archive@?$IndexClass@HPAUINIEntry@@@@ABEXXZ,scaffold
0x009A2D40,13,Code/GameEngine/Source/Common/OneWordCopyThunk.cpp,?copyFrom@OneWordCopyThunk@@QAEPAU1@PBU1@@Z,unclaimed
0x009A2D50,22,Code/GameEngine/Source/Common/NameKeyGenerator.cpp,??0?$pair@$$CBW4NameKeyType@@PAVBucket@@@_STL@@QAE@ABW4NameKeyType@@ABQAVBucket@@@Z,unclaimed
0x009A34E0,56,Code/GameEngine/Source/Common/StateMachine.cpp,??$_M_find@I@?$_Rb_tree@IU?$pair@$$CBIPAVState@@@_STL@@U?$_Select1st@U?$pair@$$CBIPAVState@@@_STL@@@2@U?$less@I@2@V?$allocator@U?$pair@$$CBIPAVState@@@_STL@@@2@@_STL@@ABEPAU?$_Rb_tree_node@U?$pair@$$CBIPAVState@@@_STL@@@1@ABI@Z,unclaimed
0x009C8ED0,13,Code/GameEngine/Source/Common/OneWordCopyThunk.cpp,?copyFrom@OneWordCopyThunk@@QAEPAU1@PBU1@@Z,unclaimed
0x009CE650,13,Code/GameEngine/Source/Common/OneWordCopyThunk.cpp,?copyFrom@OneWordCopyThunk@@QAEPAU1@PBU1@@Z,unclaimed
0x009CE690,13,Code/GameEngine/Source/Common/OneWordCopyThunk.cpp,?copyFrom@OneWordCopyThunk@@QAEPAU1@PBU1@@Z,unclaimed
0x009D6F80,22,Code/GameEngine/Source/Common/NameKeyGenerator.cpp,??0?$pair@$$CBW4NameKeyType@@PAVBucket@@@_STL@@QAE@ABW4NameKeyType@@ABQAVBucket@@@Z,unclaimed
0x009D6FF0,18,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint2D@H@@QAE@HH@Z,unclaimed
0x009D7010,18,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint2D@H@@QAE@HH@Z,unclaimed
0x009D7210,20,Code/GameEngine/Source/Common/RTS/Player.cpp,??R?$equal_to@H@_STL@@QBE_NABH0@Z,unclaimed
0x009D72D0,18,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint2D@H@@QAE@HH@Z,unclaimed
0x009D72F0,18,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint2D@H@@QAE@HH@Z,unclaimed
0x009E1170,9,Code/GameEngine/Source/GameNetwork/FrameData.cpp,?setFrameCommandCount@FrameData@@QAEXI@Z,unclaimed
0x009E2210,18,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint2D@H@@QAE@HH@Z,unclaimed
0x009E2230,25,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint3D@H@@QAE@HHH@Z,unclaimed
